rank,barrier,funnel_level,n_texts,complaint_share,reach_band,severity_band,metric_relevance_band,reach_score,severity_score,metric_relevance_score,evidence_confidence,pre_purchase_share,score,opportunity,top_subtheme,example_quote,note
1,stockout,re-exposure,94,0.0268,Med,High,High,2,3,3,1.0,0.202,12.5,Back-in-stock + low-stock alerts for wishlisted sizes; reserve-my-size.,"order, delivery, customer","After getting the product after 23 days the color was wrong of the dress. To chk the exchange, the price is 3 times high",Reach=complaint-share (not true prevalence); MetricRelevance=hypothesis.
2,size_uncertainty,confidence,86,0.0245,Med,High,High,2,3,3,1.0,0.186,12.5,Size recommender on wishlist items using the user's past kept-vs-returned sizes per brand.,"product, size, exchange",They sent me the wrong pant and when I tried to return they said they sent me the right product... now I have a pant tha,Reach=complaint-share (not true prevalence); MetricRelevance=hypothesis.
3,fit_uncertainty,confidence,10,0.0028,Low,High,High,1,3,3,1.0,0.2,11.5,"Fit-confidence layer on the wishlist: per-item fit signals, 'fits like' from similar bodies, model-measurement match.","product, shopping, time","I ordered T-shirt in Regular Fit four times, but every time Myntra delivered a Slim Fit version instead.",Reach=complaint-share (not true prevalence); MetricRelevance=hypothesis.
4,delivery_returns,confidence,1128,0.3212,High,High,Med,3,3,2,0.998,0.083,11.482,"Clear, item-level return terms + 'easy return' assurance on wishlist cards.","delivery, order, app","Most if the items delivered are used or defective and when you place it for refund or replacement, it will take eternity",Reach=complaint-share (not true prevalence); MetricRelevance=hypothesis.
5,choice_overload,re-engagement,11,0.0031,Low,High,High,1,3,3,0.973,1.0,11.186,"Wishlist decision aids: sort/compare saved items, 'pick for me', decayed re-surfacing of top saves.","need, filters, brands",The heavy reliance on AI-generated models and heavily filtered product images... makes it impossible to judge the actual,Reach=complaint-share (not true prevalence); MetricRelevance=hypothesis.
6,authenticity_trust,confidence,170,0.0484,Med,High,Med,2,3,2,1.0,0.26,10.5,"Authenticity assurance (brand-authorised seller badge, guarantee) on wishlist branded items.","app, myntra, products",there r lot of duplicate products in myntra that are overpriced which I realised only now after I recieved duplicate pro,Reach=complaint-share (not true prevalence); MetricRelevance=hypothesis.
7,quality_uncertainty,confidence,301,0.0857,Med,High,Med,2,3,2,0.996,0.143,10.458,Surface verified buyer photos + quality-rating breakdown on the wishlist card.,"customer, myntra, product","Most if the items delivered are used or defective and when you place it for refund or replacement, it will take eternity",Reach=complaint-share (not true prevalence); MetricRelevance=hypothesis.
8,info_insufficient,confidence,15,0.0043,Low,High,Med,1,3,2,1.0,0.8,9.5,"Fill the info gap on wishlist cards (measurements, fabric, care) pulled from catalog/Q&A.","app, delivery, good","while applying filters or scrolling, we could clearly see how many products were left to explore... Now that it’s gone",Reach=complaint-share (not true prevalence); MetricRelevance=hypothesis.
9,style_occasion_match,confidence,10,0.0028,Low,High,Med,1,3,2,1.0,0.1,9.5,'Complete the look' / occasion tags on wishlist to resolve match doubt.,"product, exchange, myntra","quality does not meet expectations. product does not match the color shown in the images, and there is no option availab",Reach=complaint-share (not true prevalence); MetricRelevance=hypothesis.
10,conflicting_reviews,confidence,9,0.0026,Low,High,Med,1,3,2,1.0,0.667,9.5,Review summary + 'most helpful' synthesis on the wishlist card.,"product, app, good","I'd still check the seller, product reviews/photos, return policy and size chart before ordering expensive items.",Reach=complaint-share (not true prevalence); MetricRelevance=hypothesis.
11,forgetting,re-engagement,4,0.0011,Low,Low,High,1,1,3,1.0,0.75,8.5,"Timely, non-price wishlist reminders (new reviews, restock, price-drop-agnostic 'still interested?').",general,I forget to return my ordered product at my end even though the date got expired they help me,Reach=complaint-share (not true prevalence); MetricRelevance=hypothesis.
12,needs_external_comparison,confidence,3,0.0009,Low,High,Low,1,3,1,1.0,1.0,7.5,"On-app comparison context (price history, similar-in-Myntra) to keep the decision in-app.",general,they always show high prices than other apps on same product,Reach=complaint-share (not true prevalence); MetricRelevance=hypothesis.
